0Time,id(m:dff:n21:mn1:1),id(m:dff:n21:mn2:1),id(m:dff:n21:mp1:1),id(m:dff:n21:mp2:1),id(m:dff:n22:mn1:1),id(m:dff:n22:mn2:1),id(m:dff:n22:mp1:1),id(m:dff:n22:mp2:1),id(m:dff:n31:mn1:1),id(m:dff:n31:mn2:1),id(m:dff:n31:mn3:1),id(m:dff:n31:mp1:1),id(m:dff:n31:mp2:1),id(m:dff:n31:mp3:1),id(m:dff:n32:mn1:1),id(m:dff:n32:mn2:1),id(m:dff:n32:mn3:1),id(m:dff:n32:mp1:1),id(m:dff:n32:mp2:1),id(m:dff:n32:mp3:1),id(m:dff:n33:mn1:1),id(m:dff:n33:mn2:1),id(m:dff:n33:mn3:1),id(m:dff:n33:mp1:1),id(m:dff:n33:mp2:1),id(m:dff:n33:mp3:1),id(m:dff:n34:mn1:1),id(m:dff:n34:mn2:1),id(m:dff:n34:mn3:1),id(m:dff:n34:mp1:1),id(m:dff:n34:mp2:1),id(m:dff:n34:mp3:1),v(clk),v(data),v(out)
1.15218190548844e-07,4.64842142830251e-09,7.08262798397856e-10,-8.22083308231538e-06,-7.95637880912145e-06,1.81537810742284e-08,7.16963651813725e-11,-3.05551952029293e-06,-3.15146093936147e-06,1.60730930334940e-05,1.12460925833888e-09,2.13161335853721e-07,-5.10932237966060e-11,-1.11413490235360e-04,-1.50554832794941e-10,1.03785471106736e-12,2.80052512125063e-13,1.87700683741039e-09,-5.23635531430452e-06,-5.42517882876734e-06,-5.42014424866325e-06,7.73759482052062e-07,1.11684047112220e-06,7.50263493690750e-08,-3.18172564903944e-10,-1.55177761626026e-10,-1.55177761626026e-10,1.03536115677267e-07,2.49447222554675e-06,4.07598428838602e-06,-1.02181154007051e-10,-3.17454003935015e-10,-1.54711857686872e-10,0.00000000000000e+00,1.00000000000000e+00,1.00920599200411e+00
1.15242444613969e-07,2.60395635427005e-09,2.94187312900382e-08,-1.23394707320133e-05,-1.13029429746227e-05,6.86690008925774e-08,1.13715664343597e-09,-4.06111815074435e-06,-4.44191486965431e-06,1.61941587925728e-05,1.46071151134618e-09,7.86514358444277e-08,-2.83029528022633e-11,-1.10683089861551e-04,-1.43396858739161e-10,1.31513323676769e-12,2.97699307467535e-13,2.16816328475038e-09,-1.75420323994625e-06,-1.93264181975217e-06,-1.92476086071102e-06,2.55110806118589e-06,3.11269293978047e-06,2.44767710114649e-06,-1.99517019125428e-10,-1.54735127905877e-10,-1.54735127905877e-10,1.52903400518624e-06,3.33065153213444e-06,4.92005699546654e-06,-8.60209639752812e-11,-1.99362415987129e-10,-1.54606156743730e-10,0.00000000000000e+00,1.00000000000000e+00,1.01298597288305e+00
1.15290952744220e-07,8.11006836259941e-10,1.55319691423442e-06,-1.52337747588774e-05,-1.22672046973848e-05,3.93892688309943e-07,1.69777782361509e-09,-3.93431739673434e-06,-4.93453981941796e-06,1.54033400795069e-05,1.67830621070479e-09,2.75047858282340e-08,-1.77592639432752e-11,-1.09221507176922e-04,-1.31261307062297e-10,9.04697980723521e-12,3.27383329329865e-13,2.23375301073320e-09,-1.16408355802245e-06,-1.47062223352122e-06,-1.46375110306607e-06,2.52831752408076e-06,3.35170188151090e-06,3.55071633044589e-06,-1.27455919768022e-10,-1.54629892864892e-10,-1.54629892864892e-10,1.74439767034927e-06,2.71108368311217e-06,3.49867675901581e-06,-8.07354241792404e-11,-1.27545533392583e-10,-1.54738501179170e-10,0.00000000000000e+00,1.00000000000000e+00,1.01440750405119e+00
1.15387969004722e-07,1.21309723177244e-09,1.39441052614770e-05,-1.59729019993921e-05,-9.01061065485800e-06,1.82938405841632e-06,1.80730181514825e-09,-2.46040437262316e-06,-4.50265575487187e-06,1.31191870331839e-05,2.07741367604238e-09,3.29287838671441e-08,-1.37870964581562e-11,-1.04920087488709e-04,-1.12229816814066e-10,2.03373632777934e-09,3.80120314840378e-13,1.93185996560707e-09,-1.68342149309453e-06,-3.09897728080525e-06,-3.09426079927739e-06,7.36973285437382e-07,1.08407496622275e-06,1.28289170902781e-06,-1.03234643214190e-10,-1.55102535671735e-10,-1.55102535671735e-10,1.14642936500019e-06,1.13629655169064e-06,1.21386129952381e-06,-8.57548188371851e-11,-1.03216046245406e-10,-1.55003542546361e-10,0.00000000000000e+00,1.00000000000000e+00,1.01312017593163e+00
1.15561961124442e-07,3.41543939005234e-09,4.56057406322019e-06,-1.59680616000726e-05,-2.07946540414937e-06,3.04967253711872e-06,2.28047657073243e-09,-3.58196042713397e-07,-3.55634013362637e-06,7.77588679309830e-06,2.76078116945853e-09,1.48845216616993e-08,-1.07541029666223e-11,-7.54808701882353e-05,-8.86447029266385e-11,4.58997542112912e-07,5.07024947761417e-13,1.76564761486338e-09,-3.00606079262269e-07,-3.02585740270672e-06,-3.02709613207116e-06,1.99126239888687e-07,2.93241278076712e-07,3.40436182630859e-07,-1.04418740911055e-10,-1.55349036175323e-10,-1.55349036175323e-10,7.77696049380422e-07,7.20316568861859e-07,6.87656709265099e-07,-9.72090641805011e-11,-1.04271647198525e-10,-1.55112583461737e-10,0.00000000000000e+00,1.00000000000000e+00,1.01036061105334e+00
1.15742110260542e-07,3.12954119504663e-09,5.49844905326913e-06,-5.70416745224759e-06,-3.96919588891748e-09,2.05722229744843e-06,2.62852686671098e-09,-1.93979904527737e-10,-4.26660852212640e-07,5.05989182419763e-07,3.06056324436204e-09,2.11230051148131e-08,-3.45190002461307e-11,-2.82687482961919e-05,-7.36745020590568e-11,1.44219767329368e-06,6.53969063121817e-13,1.64988344474760e-09,-3.95456230299836e-10,-8.37886528623070e-07,-8.39444583287679e-07,1.23497836676554e-06,1.32653386990142e-06,1.23456604026143e-06,-1.39390421474324e-10,-1.55604688213699e-10,-1.55604688213699e-10,2.02201466173542e-07,3.06842096528485e-07,4.85857058185714e-07,-1.46895538788851e-10,-1.39182227742129e-10,-1.55348489105957e-10,0.00000000000000e+00,1.00000000000000e+00,1.00124094918865e+00
1.16018735917149e-07,4.04311633619044e-09,1.87589974658728e-06,-1.01635520224065e-06,-5.61617427434480e-12,6.98145587672468e-07,3.05212824195087e-09,-6.10162740103655e-12,-1.10817579165828e-06,2.05413220025840e-07,3.09819937796953e-09,1.28364549354113e-08,-4.92846135598589e-11,-3.35295853937789e-06,-4.30913451509155e-11,7.24630142681267e-07,7.63042801409668e-13,1.77325214794518e-09,-3.15191124278814e-12,-5.59052106081030e-07,-5.59219354057347e-07,8.77576761009724e-08,2.12749645351528e-07,3.32162508405552e-07,-1.67187751942716e-10,-1.55370223151078e-10,-1.55370223151078e-10,2.54507940055460e-08,1.90881395616491e-07,2.04329601140415e-07,-1.79641373757999e-10,-1.67105838331988e-10,-1.55267774784559e-10,0.00000000000000e+00,1.00000000000000e+00,9.96760789224996e-01
1.16310701236628e-07,3.83749213492751e-09,1.42659264227320e-06,-4.98637328346018e-07,-4.75590462936788e-12,2.37948220938754e-07,3.13075974766586e-09,-2.93325706177335e-12,-3.29185103863927e-07,1.41358066261722e-07,3.13969819968851e-09,1.77817835397819e-08,-7.94114778161318e-14,-1.21427061731319e-08,-8.52274661543083e-14,2.40928911326045e-07,7.86029271158639e-13,1.82743709534649e-09,-1.28126476788405e-12,-1.42792273237664e-07,-1.42751158937302e-07,1.34330301961311e-07,2.39072212842083e-07,3.23573419341902e-07,-1.58207185893805e-10,-1.55267280694331e-10,-1.55267280694331e-10,2.09935799149234e-07,1.56152508881719e-07,1.80061812880953e-07,-1.62140412615983e-10,-1.58218131019457e-10,-1.55182631864605e-10,0.00000000000000e+00,1.00000000000000e+00,9.99038020126362e-01
1.16771029652565e-07,4.01150134737836e-09,1.32796816405215e-06,-2.47718996535650e-07,-2.19209517025739e-12,1.17845156918768e-07,3.14616911433601e-09,-1.00890453097808e-12,-1.13465460962433e-07,8.36586350809678e-08,3.17987842489749e-09,1.03644875041383e-08,-7.15014561381484e-13,-7.88347842363259e-08,-6.92277037466425e-13,1.17053330567047e-07,8.05699828901407e-13,1.77938681236884e-09,-6.90059824502209e-13,-7.74087859555700e-08,-7.74182708584477e-08,8.39247456913282e-08,1.54416415945977e-07,2.20164353674098e-07,-1.56921518065855e-10,-1.55343016265273e-10,-1.55343016265273e-10,7.93603314409659e-08,1.74028963697392e-10,1.30081840758619e-08,-1.57641025410171e-10,-1.56894797643009e-10,-1.55318251985244e-10,0.00000000000000e+00,1.00000000000000e+00,9.99670210155311e-01
1.17284906742072e-07,3.82116936890727e-09,1.25970478330261e-06,-2.16517316426564e-07,-1.99627747859301e-12,7.31682806780770e-08,3.20364922482822e-09,-7.32816072099193e-13,-8.18065299973469e-08,5.92073883447819e-08,3.20959300253368e-09,1.60930184719293e-08,-2.01505450710285e-13,-2.02256357552950e-08,-2.07000884145983e-13,7.18966050627594e-08,8.17953868909369e-13,1.81173944380368e-09,-1.83958226292251e-13,-2.05831608358623e-08,-2.05877054634963e-08,6.10415380296422e-08,1.15560525567686e-07,1.69861886976519e-07,-1.55713972236346e-10,-1.55284951813970e-10,-1.55284951813970e-10,1.02507705970179e-07,2.71999825034049e-08,4.09208738404881e-08,-1.56979042873934e-10,-1.55726695848391e-10,-1.55297816527209e-10,0.00000000000000e+00,1.00000000000000e+00,9.99760388976617e-01
1.18312660921087e-07,4.01572204082129e-09,1.21772796955394e-06,-1.54689986540908e-07,-1.39561001985541e-12,4.03790994620614e-08,3.23363629504391e-09,-3.72644225087872e-13,-4.11666285684310e-08,3.49633941331355e-08,3.25183146598421e-09,9.17564224023836e-09,-2.77383207298011e-13,-2.74421841497482e-08,-2.71393267570777e-13,3.87567783016386e-08,8.33684106122637e-13,1.78418459034674e-09,-3.42829471997837e-13,-3.77952698193361e-08,-3.77927295779231e-08,5.07530240585884e-08,9.80069825259862e-08,1.47431217043077e-07,-1.56091522601378e-10,-1.55331647219794e-10,-1.55331647219794e-10,7.17215159441475e-08,4.35297955572492e-09,8.87400473626350e-09,-1.56150462178469e-10,-1.56075628263813e-10,-1.55256953986781e-10,0.00000000000000e+00,1.00000000000000e+00,9.99881046157774e-01
1.20368169279116e-07,3.81952916887799e-09,1.20886011553114e-06,-1.52263931102861e-07,-1.39534314519493e-12,2.08934425899314e-08,3.30309465918537e-09,-1.82441834674846e-13,-2.03463078625729e-08,1.95069803625545e-08,3.29755599096245e-09,1.55891211590098e-08,-2.00029726720679e-13,-1.98612112277702e-08,-2.03726446975470e-13,1.91661832132563e-08,8.52252263880299e-13,1.80518724463687e-09,-7.37756769458189e-14,-8.09053499695427e-09,-8.08135747232218e-09,4.68516422665534e-08,9.12911202398101e-08,1.38551221829397e-07,-1.55133947001954e-10,-1.55290256737271e-10,-1.55290256737271e-10,8.41859912720128e-08,9.12492531595247e-09,2.26153739634180e-08,-1.55724243804646e-10,-1.55145534590455e-10,-1.55301922002754e-10,0.00000000000000e+00,1.00000000000000e+00,9.99939617833878e-01
1.24368169279116e-07,4.01587001958987e-09,1.19254914376894e-06,-1.45403220458032e-07,-1.31346011776179e-12,1.07874384234840e-08,3.33991512937649e-09,-1.12593905475973e-13,-1.23854550713109e-08,1.06449345774719e-08,3.34502952828980e-09,8.82454722937013e-09,-3.18934894288055e-13,-3.20085701855175e-08,-3.12490004515565e-13,9.00883301276197e-09,8.72160184373704e-13,1.77819161876829e-09,-2.03009854904290e-13,-2.23066442612632e-08,-2.23015090596865e-08,4.48117696617444e-08,8.77504162888009e-08,1.33988579127210e-07,-1.55776558109932e-10,-1.55209744071897e-10,-1.55209744071897e-10,7.63905174778377e-08,1.52398053217123e-09,1.50304092141363e-08,-1.55562795236744e-10,-1.55764000019480e-10,-1.55389464888552e-10,0.00000000000000e+00,1.00000000000000e+00,9.99964956635061e-01
1.25000000000000e-07,3.82166330303835e-09,1.14851377884327e-06,-1.05935501750920e-07,-9.66316379437091e-13,1.01812795237175e-08,3.35832430311363e-09,-5.28068586452360e-14,-5.99000795396303e-09,1.03655712178855e-08,3.35000499190878e-09,1.49665929295766e-08,-2.62482318562291e-13,-2.67030511050020e-08,-2.65466019697197e-13,8.38846566643916e-09,8.74293809104876e-13,1.79798188264225e-09,-1.15321654926804e-13,-1.29423716405750e-08,-1.29327844683445e-08,4.26589289339412e-08,7.73232399281601e-08,1.17349828145375e-07,-1.55042472151628e-10,-1.55197027216432e-10,-1.55197027216432e-10,7.04910017124393e-08,1.87089889598545e-09,1.22006866988668e-08,-1.55432049445993e-10,-1.55053803525428e-10,-1.55403301384197e-10,0.00000000000000e+00,1.00000000000000e+00,9.99981476193432e-01
1.25010000000000e-07,4.06664976426805e-09,3.36329665955062e-06,-1.20661176318707e-06,-7.45384297372085e-12,1.30629377782617e-08,3.57508850598423e-09,-2.94159897411304e-12,-5.14222620253538e-07,4.28771216801205e-09,1.10883174896486e-07,6.68885363791658e-06,-4.45460789537980e-11,-3.50724748872860e-06,-5.22844986762668e-11,4.11150057357131e-09,1.24181064365181e-12,2.07889387093378e-09,-2.29630036799296e-11,-2.78643315369051e-06,-3.05101151483009e-06,1.54667106049160e-06,2.39047868720367e-06,1.45846283549031e-06,-1.03563802819682e-10,-1.54922837234123e-10,-1.54922837234123e-10,7.08848058007653e-07,9.30532669463445e-07,2.44234562710652e-06,-1.44954235387015e-10,-1.03696724514572e-10,-1.55112569762223e-10,9.99999999998487e-02,1.00000000000000e+00,1.00150457831795e+00
1.25030000000000e-07,4.59989315916391e-09,4.88827540390661e-06,-2.15380490441226e-06,-5.70962897229361e-12,2.04392940864454e-08,3.94141610396587e-09,-2.86597640611063e-12,-1.20351049314057e-06,3.35004961819376e-09,1.17406023903095e-05,4.23547996847670e-05,-2.25378020262205e-10,-7.67734045461112e-06,-2.98278130511929e-10,8.62233059859987e-10,1.09837553764046e-10,2.57768144955312e-09,-4.11948236246458e-11,-5.77302071158626e-06,-8.23184098188038e-06,3.42784520856515e-06,5.07669986079766e-06,3.93956709505392e-06,-5.20585267457178e-11,-1.54375963043030e-10,-1.54375963043030e-10,5.80865119746593e-07,2.25682697205430e-06,4.97396471543564e-06,-1.32121526483206e-10,-5.22019336868927e-11,-1.54830450627707e-10,2.99999999999811e-01,1.00000000000000e+00,1.00351893419100e+00
1.25070000000000e-07,4.70348779847644e-09,2.16670107895381e-07,-1.69392201649606e-05,-8.90603762911895e-12,2.62528911033760e-08,4.03344962704648e-09,-1.16712701812717e-12,-8.92012793583865e-07,4.26580711491698e-05,1.50388870838792e-04,1.57192513540556e-04,-5.22759704405632e-09,-2.08630659690372e-06,-6.14940915863042e-10,8.07650186184111e-12,5.78797680434508e-07,2.88097477903005e-09,-9.46179342304302e-11,-2.17344431621742e-06,-1.55975965342496e-05,1.23944692204580e-06,4.21856613404179e-06,4.80207742940708e-06,-2.00464799899684e-11,-1.54653532367316e-10,-1.54653532367316e-10,5.02860863307366e-07,2.39841252496492e-06,4.59037963979758e-06,-1.37620654267673e-10,-2.00732307920800e-11,-1.54881697925208e-10,6.99999999999735e-01,1.00000000000000e+00,1.00260643165973e+00
