N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.125u,0.1u,TT,27,1.5621945539585102e-08
0.1u,0.1u,0.125u,0.1u,FF,0,1.0715029491465721e-08
0.1u,0.1u,0.125u,0.1u,TT,0,1.1512959980958184e-08
0.1u,0.1u,0.125u,0.1u,FF,70,3.9107306264042966e-08
0.1u,0.1u,0.125u,0.1u,FF,27,2.058284440561468e-08
0.1u,0.1u,0.125u,0.1u,TT,70,2.3754514324570853e-08
0.1u,0.1u,0.450u,0.1u,TT,27,8.290259770840054e-09
0.1u,0.1u,0.450u,0.1u,FF,0,2.99451143734871e-08
0.1u,0.1u,0.450u,0.1u,TT,0,1.190513915920028e-08
0.1u,0.1u,0.450u,0.1u,FF,70,1.9482152680798653e-08
0.1u,0.1u,0.450u,0.1u,FF,27,1.6638245667150683e-08
0.1u,0.1u,0.450u,0.1u,TT,70,3.24812696773921e-08
0.1u,0.1u,0.250u,0.1u,TT,27,3.4507502734057023e-10
0.1u,0.1u,0.250u,0.1u,FF,0,2.506953837965587e-08
0.1u,0.1u,0.250u,0.1u,TT,0,1.7829163195791835e-09
0.1u,0.1u,0.250u,0.1u,FF,70,4.223547771708836e-08
0.1u,0.1u,0.250u,0.1u,FF,27,1.37262697608478e-08
0.1u,0.1u,0.250u,0.1u,TT,70,1.4095283436844347e-08
0.1u,0.1u,0.300u,0.1u,TT,27,2.3353203647787e-09
0.1u,0.1u,0.300u,0.1u,FF,0,2.8137832194083355e-08
0.1u,0.1u,0.300u,0.1u,TT,0,4.1382950233250764e-09
0.1u,0.1u,0.300u,0.1u,FF,70,4.4306745200488664e-08
0.1u,0.1u,0.300u,0.1u,FF,27,1.278935212967282e-08
0.1u,0.1u,0.300u,0.1u,TT,70,1.2603429581188113e-08
0.1u,0.1u,0.200u,0.1u,TT,27,3.157104719134717e-09
0.1u,0.1u,0.200u,0.1u,FF,0,2.7942214588203104e-09
0.1u,0.1u,0.200u,0.1u,TT,0,3.896945509304506e-09
0.1u,0.1u,0.200u,0.1u,FF,70,4.061349848599316e-08
0.1u,0.1u,0.200u,0.1u,FF,27,1.5684999634592956e-08
0.1u,0.1u,0.200u,0.1u,TT,70,2.8547146967469258e-08
0.1u,0.1u,0.425u,0.1u,TT,27,7.765588854250364e-09
0.1u,0.1u,0.425u,0.1u,FF,0,3.0497907579881065e-08
0.1u,0.1u,0.425u,0.1u,TT,0,1.0772084947152621e-08
0.1u,0.1u,0.425u,0.1u,FF,70,2.077620487135378e-08
0.1u,0.1u,0.425u,0.1u,FF,27,1.547778769370925e-08
0.1u,0.1u,0.425u,0.1u,TT,70,3.3192264930583604e-08
0.1u,0.1u,0.350u,0.1u,TT,27,4.819282401360249e-09
0.1u,0.1u,0.350u,0.1u,FF,0,2.987926962886794e-08
0.1u,0.1u,0.350u,0.1u,TT,0,6.826593197075989e-09
0.1u,0.1u,0.350u,0.1u,FF,70,4.736026146407803e-08
0.1u,0.1u,0.350u,0.1u,FF,27,1.3157533232958252e-08
0.1u,0.1u,0.350u,0.1u,TT,70,1.2254851059156654e-08
0.1u,0.1u,0.225u,0.1u,TT,27,1.640619718086552e-09
0.1u,0.1u,0.225u,0.1u,FF,0,5.8685137093399e-10
0.1u,0.1u,0.225u,0.1u,TT,0,2.7502831129893123e-10
0.1u,0.1u,0.225u,0.1u,FF,70,4.146598275212799e-08
0.1u,0.1u,0.225u,0.1u,FF,27,1.4469440914540702e-08
0.1u,0.1u,0.225u,0.1u,TT,70,2.9694354054207652e-08
0.1u,0.1u,0.400u,0.1u,TT,27,6.902465271623747e-09
0.1u,0.1u,0.400u,0.1u,FF,0,3.0619575509661695e-08
0.1u,0.1u,0.400u,0.1u,TT,0,9.40448878508788e-09
0.1u,0.1u,0.400u,0.1u,FF,70,2.213825349344733e-08
0.1u,0.1u,0.400u,0.1u,FF,27,1.4440426940924929e-08
0.1u,0.1u,0.400u,0.1u,TT,70,1.2597676718043924e-08
0.1u,0.1u,0.475u,0.1u,TT,27,2.66311630635467e-08
0.1u,0.1u,0.475u,0.1u,FF,0,5.5681103616691935e-09
0.1u,0.1u,0.475u,0.1u,TT,0,1.3101704778327174e-08
0.1u,0.1u,0.475u,0.1u,FF,70,1.820119092686009e-08
0.1u,0.1u,0.475u,0.1u,FF,27,1.7896979543246518e-08
0.1u,0.1u,0.475u,0.1u,TT,70,3.207327314641664e-08
0.1u,0.1u,0.375u,0.1u,TT,27,5.8927951711259905e-09
0.1u,0.1u,0.375u,0.1u,FF,0,3.0361171438487034e-08
0.1u,0.1u,0.375u,0.1u,TT,0,8.198014876079728e-09
0.1u,0.1u,0.375u,0.1u,FF,70,2.3716678385307823e-08
0.1u,0.1u,0.375u,0.1u,FF,27,1.3615384699217616e-08
0.1u,0.1u,0.375u,0.1u,TT,70,1.194113381059781e-08
0.1u,0.1u,0.575u,0.1u,TT,27,9.002174300875415e-09
0.1u,0.1u,0.575u,0.1u,FF,0,1.3632861447395343e-09
0.1u,0.1u,0.575u,0.1u,TT,0,3.157417465306549e-08
0.1u,0.1u,0.575u,0.1u,FF,70,1.3676736727807648e-08
0.1u,0.1u,0.575u,0.1u,FF,27,2.4755740381101312e-08
0.1u,0.1u,0.575u,0.1u,TT,70,2.937884656551636e-08
0.1u,0.1u,0.525u,0.1u,TT,27,9.317544419816425e-09
0.1u,0.1u,0.525u,0.1u,FF,0,3.815336600233177e-09
0.1u,0.1u,0.525u,0.1u,TT,0,1.5276514427012442e-08
0.1u,0.1u,0.525u,0.1u,FF,70,1.5629797274515546e-08
0.1u,0.1u,0.525u,0.1u,FF,27,2.1121120588518885e-08
0.1u,0.1u,0.525u,0.1u,TT,70,3.073293187687491e-08
0.1u,0.1u,0.325u,0.1u,TT,27,3.714931363150081e-09
0.1u,0.1u,0.325u,0.1u,FF,0,2.9298257333162e-08
0.1u,0.1u,0.325u,0.1u,TT,0,5.505199308272104e-09
0.1u,0.1u,0.325u,0.1u,FF,70,4.561163129288544e-08
0.1u,0.1u,0.325u,0.1u,FF,27,1.2830635934071861e-08
0.1u,0.1u,0.325u,0.1u,TT,70,1.2265798167428977e-08
0.1u,0.1u,0.150u,0.1u,TT,27,6.382025469387122e-09
0.1u,0.1u,0.150u,0.1u,FF,0,7.845893527944514e-09
0.1u,0.1u,0.150u,0.1u,TT,0,1.2575344604501064e-08
0.1u,0.1u,0.150u,0.1u,FF,70,3.975295084990936e-08
0.1u,0.1u,0.150u,0.1u,FF,27,1.8788846788962252e-08
0.1u,0.1u,0.150u,0.1u,TT,70,2.5495670965921277e-08
