N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.200u,0.1u,FF,0,8.873499153559658e-09
0.1u,0.1u,0.200u,0.1u,FF,70,3.386354169009901e-08
0.1u,0.1u,0.200u,0.1u,TT,0,8.203826105372757e-09
0.1u,0.1u,0.200u,0.1u,FF,27,1.7044348452760993e-08
0.1u,0.1u,0.200u,0.1u,TT,70,2.298803598257745e-08
0.1u,0.1u,0.200u,0.1u,TT,27,1.2975056926489373e-08
0.1u,0.1u,0.425u,0.1u,FF,0,1.677284477454928e-08
0.1u,0.1u,0.425u,0.1u,FF,70,3.6915016359495416e-08
0.1u,0.1u,0.425u,0.1u,TT,0,4.568118335050644e-09
0.1u,0.1u,0.425u,0.1u,FF,27,2.240035673087457e-08
0.1u,0.1u,0.425u,0.1u,TT,70,2.0391970088224565e-08
0.1u,0.1u,0.425u,0.1u,TT,27,9.221398820372428e-09
0.1u,0.1u,0.350u,0.1u,FF,0,1.2588485971739107e-08
0.1u,0.1u,0.350u,0.1u,FF,70,3.3824360173568394e-08
0.1u,0.1u,0.350u,0.1u,TT,0,3.514829650484265e-09
0.1u,0.1u,0.350u,0.1u,FF,27,1.867166612328483e-08
0.1u,0.1u,0.350u,0.1u,TT,70,2.0115715218893813e-08
0.1u,0.1u,0.350u,0.1u,TT,27,8.845262178788081e-09
0.1u,0.1u,0.225u,0.1u,FF,0,8.172545814317035e-09
0.1u,0.1u,0.225u,0.1u,FF,70,3.2937086244062254e-08
0.1u,0.1u,0.225u,0.1u,TT,0,7.0673494760330574e-09
0.1u,0.1u,0.225u,0.1u,FF,27,1.6073291461799188e-08
0.1u,0.1u,0.225u,0.1u,TT,70,2.2680102158621727e-08
0.1u,0.1u,0.225u,0.1u,TT,27,1.2295023275303796e-08
0.1u,0.1u,0.400u,0.1u,FF,0,1.5539880438352372e-08
0.1u,0.1u,0.400u,0.1u,FF,70,3.585384368824573e-08
0.1u,0.1u,0.400u,0.1u,TT,0,4.035036089618259e-09
0.1u,0.1u,0.400u,0.1u,FF,27,2.1195240961904048e-08
0.1u,0.1u,0.400u,0.1u,TT,70,2.007658238606652e-08
0.1u,0.1u,0.400u,0.1u,TT,27,8.897944250158428e-09
0.1u,0.1u,0.475u,0.1u,FF,0,1.814031431491037e-08
0.1u,0.1u,0.475u,0.1u,FF,70,3.884809317881353e-08
0.1u,0.1u,0.475u,0.1u,TT,0,6.223646232304816e-09
0.1u,0.1u,0.475u,0.1u,FF,27,2.4308996816630865e-08
0.1u,0.1u,0.475u,0.1u,TT,70,2.1192174570595097e-08
0.1u,0.1u,0.475u,0.1u,TT,27,1.034897720853088e-08
0.1u,0.1u,0.375u,0.1u,FF,0,1.4101989430774202e-08
0.1u,0.1u,0.375u,0.1u,FF,70,3.478610802019057e-08
0.1u,0.1u,0.375u,0.1u,TT,0,3.7064687695138565e-09
0.1u,0.1u,0.375u,0.1u,FF,27,1.9935053972020616e-08
0.1u,0.1u,0.375u,0.1u,TT,70,2.00124806896677e-08
0.1u,0.1u,0.375u,0.1u,TT,27,8.678857319556856e-09
0.1u,0.1u,0.575u,0.1u,FF,0,1.8725269584310207e-08
0.1u,0.1u,0.575u,0.1u,FF,70,4.107459984057452e-08
0.1u,0.1u,0.575u,0.1u,TT,0,4.649113469342254e-09
0.1u,0.1u,0.575u,0.1u,FF,27,2.567636613201969e-08
0.1u,0.1u,0.575u,0.1u,TT,70,2.36609178309028e-08
0.1u,0.1u,0.575u,0.1u,TT,27,1.3510572000472142e-08
0.1u,0.1u,0.525u,0.1u,FF,0,1.8785624043519186e-08
0.1u,0.1u,0.525u,0.1u,FF,70,4.041991152916032e-08
0.1u,0.1u,0.525u,0.1u,TT,0,8.11318015041877e-09
0.1u,0.1u,0.525u,0.1u,FF,27,2.5261365074883785e-08
0.1u,0.1u,0.525u,0.1u,TT,70,2.2455583871265152e-08
0.1u,0.1u,0.525u,0.1u,TT,27,1.1922691823682958e-08
0.1u,0.1u,0.325u,0.1u,FF,0,1.108055865669295e-08
0.1u,0.1u,0.325u,0.1u,FF,70,3.298277730999424e-08
0.1u,0.1u,0.325u,0.1u,TT,0,3.746528637069528e-09
0.1u,0.1u,0.325u,0.1u,FF,27,1.7465665953875206e-08
0.1u,0.1u,0.325u,0.1u,TT,70,2.0283512312760697e-08
0.1u,0.1u,0.325u,0.1u,TT,27,9.172897955290752e-09
0.1u,0.1u,0.150u,0.1u,FF,0,1.2250932206445098e-08
0.1u,0.1u,0.150u,0.1u,FF,70,3.576482434040536e-08
0.1u,0.1u,0.150u,0.1u,TT,0,8.992867625183599e-09
0.1u,0.1u,0.150u,0.1u,FF,27,1.9903335237724363e-08
0.1u,0.1u,0.150u,0.1u,TT,70,2.2662402532705632e-08
0.1u,0.1u,0.150u,0.1u,TT,27,1.31845100470307e-08
