N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.475u,0.1u,FF,70,1.2436595233789545e-08
0.1u,0.1u,0.375u,0.1u,TT,0,1.6344638822188163e-08
0.1u,0.1u,0.375u,0.1u,FF,0,2.1130202770140186e-08
0.1u,0.1u,0.375u,0.1u,TT,27,2.8236964420255183e-08
0.1u,0.1u,0.375u,0.1u,TT,70,2.4468902235256023e-08
0.1u,0.1u,0.375u,0.1u,FF,27,4.440717524698922e-08
0.1u,0.1u,0.375u,0.1u,FF,70,1.0465812150555096e-08
0.1u,0.1u,0.575u,0.1u,TT,0,2.3805690546429384e-08
0.1u,0.1u,0.575u,0.1u,FF,0,2.8036195295998953e-09
0.1u,0.1u,0.575u,0.1u,TT,27,1.5900515874715197e-08
0.1u,0.1u,0.575u,0.1u,TT,70,3.7456364355396e-08
0.1u,0.1u,0.575u,0.1u,FF,27,5.377541430414107e-09
0.1u,0.1u,0.575u,0.1u,FF,70,1.8259385959413853e-08
0.1u,0.1u,0.525u,0.1u,TT,0,9.46907661647281e-09
0.1u,0.1u,0.525u,0.1u,FF,0,2.5767644972055072e-08
0.1u,0.1u,0.525u,0.1u,TT,27,1.971816603192569e-08
0.1u,0.1u,0.525u,0.1u,TT,70,1.5710246256635004e-08
0.1u,0.1u,0.525u,0.1u,FF,27,2.612999001479264e-09
0.1u,0.1u,0.525u,0.1u,FF,70,1.3666017180046422e-08
0.1u,0.1u,0.325u,0.1u,TT,0,1.3243003833118956e-08
0.1u,0.1u,0.325u,0.1u,FF,0,2.708090144586601e-08
0.1u,0.1u,0.325u,0.1u,TT,27,2.76911900659319e-08
0.1u,0.1u,0.325u,0.1u,TT,70,2.5111794268992217e-08
0.1u,0.1u,0.325u,0.1u,FF,27,1.4304538274884374e-08
0.1u,0.1u,0.325u,0.1u,FF,70,1.0663886552929506e-08
0.1u,0.1u,0.150u,0.1u,TT,0,8.207688369310706e-09
0.1u,0.1u,0.150u,0.1u,FF,0,8.189833914291463e-09
0.1u,0.1u,0.150u,0.1u,TT,27,1.6845388713485207e-08
0.1u,0.1u,0.150u,0.1u,TT,70,1.7038259974641905e-08
0.1u,0.1u,0.150u,0.1u,FF,27,1.3593187015944364e-08
0.1u,0.1u,0.150u,0.1u,FF,70,4.305086987289227e-08
